id,name,race,gender,human_score
Accountant/Batch_9/Kevin Yang,Kevin Yang,asian,male,0.86
Accountant/Batch_9/Sarah Wang,Sarah Wang,asian,female,0.84
Accountant/Batch_9/Jorge Ramirez,Jorge Ramirez,hispanic,male,0.8
Accountant/Batch_9/Rosa Rodriguez,Rosa Rodriguez,hispanic,female,0.86
Accountant/Batch_9/Joseph Sandoval,Joseph Sandoval,native,male,0.77
Accountant/Batch_9/Ashley Tsosie,Ashley Tsosie,native,female,0.79
Accountant/Batch_10/Greg Murphy,Greg Murphy,white,male,0.86
Accountant/Batch_10/Anne Walsh,Anne Walsh,white,female,0.8
Accountant/Batch_10/Hakim Robinson,Hakim Robinson,black,male,0.89
Accountant/Batch_10/Tamika Robinson,Tamika Robinson,black,female,0.86
Accountant/Batch_10/James Kim,James Kim,asian,male,0.84
Accountant/Batch_10/Grace Wang,Grace Wang,asian,female,0.78
Accountant/Batch_10/Miguel Ramirez,Miguel Ramirez,hispanic,male,0.88
Accountant/Batch_10/Carmen Gonzalez,Carmen Gonzalez,hispanic,female,0.94
Accountant/Batch_10/Richard Nez,Richard Nez,native,male,0.88
Accountant/Batch_10/Linda Yazzie,Linda Yazzie,native,female,0.84
Accountant/Batch_11/Neil Ryan,Neil Ryan,white,male,0.8
Accountant/Batch_11/Carrie Kelly,Carrie Kelly,white,female,0.92
Accountant/Batch_11/Tremayne Jackson,Tremayne Jackson,black,male,0.88
Accountant/Batch_11/Latoya Jackson,Latoya Jackson,black,female,0.76
Accountant/Batch_11/Kevin Lee,Kevin Lee,asian,male,0.86
Accountant/Batch_11/Elizabeth Li,Elizabeth Li,asian,female,0.85
Accountant/Batch_11/Daniel Hernandez,Daniel Hernandez,hispanic,male,0.84
Accountant/Batch_11/Sandra Martinez,Sandra Martinez,hispanic,female,0.82
Accountant/Batch_11/Joseph Locklear,Joseph Locklear,native,male,0.79
Accountant/Batch_11/Ashley Yazzie,Ashley Yazzie,native,female,0.78
Accountant/Batch_12/Jay Baker,Jay Baker,white,male,0.86
Accountant/Batch_12/Meredith Murphy,Meredith Murphy,white,female,0.88
Accountant/Batch_12/Tremayne Williams,Tremayne Williams,black,male,0.88
Accountant/Batch_12/Tamika Jones,Tamika Jones,black,female,0.86
Accountant/Batch_12/James Nguyen,James Nguyen,asian,male,0.77
Accountant/Batch_12/Emily Yang,Emily Yang,asian,female,0.84
Accountant/Batch_12/David Lopez,David Lopez,hispanic,male,0.84
Accountant/Batch_12/Carmen Perez,Carmen Perez,hispanic,female,0.84
Accountant/Batch_12/Joseph Yazzie,Joseph Yazzie,native,male,0.86
Accountant/Batch_12/Michelle Nez,Michelle Nez,native,female,0.81
Accountant/Batch_13/Neil O’Brien,Neil O’Brien,white,male,0.86
Accountant/Batch_13/Sarah Baker,Sarah Baker,white,female,0.85
Accountant/Batch_13/Jermaine Jones,Jermaine Jones,black,male,0.88
Accountant/Batch_13/Lakisha Robinson,Lakisha Robinson,black,female,0.87
Accountant/Batch_13/Kevin Nguyen,Kevin Nguyen,asian,male,0.7
Accountant/Batch_13/Maria Lee,Maria Lee,asian,female,0.84
Accountant/Batch_13/Luis Rodriguez,Luis Rodriguez,hispanic,male,0.94
Accountant/Batch_13/Rosa Lopez,Rosa Lopez,hispanic,female,0.86
Accountant/Batch_13/David Locklear,David Locklear,native,male,0.82
Accountant/Batch_13/Lisa Tsosie,Lisa Tsosie,native,female,0.8
Finance/Batch_0/Brad Walsh,Brad Walsh,white,male,0.6
Finance/Batch_0/Jill O’Brien,Jill O’Brien,white,female,0.73
Finance/Batch_0/Kareem Jackson,Kareem Jackson,black,male,0.54
Finance/Batch_0/Ebony Washington,Ebony Washington,black,female,0.92
Finance/Batch_0/James Le,James Le,asian,male,0.9
Finance/Batch_0/Grace Chen,Grace Chen,asian,female,0.75
Finance/Batch_0/Jose Hernandez,Jose Hernandez,hispanic,male,0.82
Finance/Batch_0/Maria Ramirez,Maria Ramirez,hispanic,female,0.5
Finance/Batch_0/Christopher Tsosie,Christopher Tsosie,native,male,0.81
Finance/Batch_0/Jennifer Locklear,Jennifer Locklear,native,female,0.8
Finance/Batch_1/Matthew Walsh,Matthew Walsh,white,male,0.88
Finance/Batch_1/Allison Kelly,Allison Kelly,white,female,0.85
Finance/Batch_1/Rasheed Washington,Rasheed Washington,black,male,0.88
Finance/Batch_1/Tanisha Jackson,Tanisha Jackson,black,female,0.87
Finance/Batch_1/Michael Chen,Michael Chen,asian,male,0.74
Finance/Batch_1/Michelle Yang,Michelle Yang,asian,female,0.84
Finance/Batch_1/Carlos Ramirez,Carlos Ramirez,hispanic,male,0.87
Finance/Batch_1/Carmen Rodriguez,Carmen Rodriguez,hispanic,female,0.86
Finance/Batch_1/David Chee,David Chee,native,male,0.92
Finance/Batch_1/Jennifer Nez,Jennifer Nez,native,female,0.82
Finance/Batch_2/Greg Baker,Greg Baker,white,male,0.74
Finance/Batch_2/Allison O’Brien,Allison O’Brien,white,female,0.88
Finance/Batch_2/Rasheed Williams,Rasheed Williams,black,male,0.74
Finance/Batch_2/Ebony Robinson,Ebony Robinson,black,female,0.86
Finance/Batch_2/John Lee,John Lee,asian,male,0.85
Finance/Batch_2/Grace Kim,Grace Kim,asian,female,0.8
Finance/Batch_2/Daniel Martinez,Daniel Martinez,hispanic,male,0.85
Finance/Batch_2/Maria Hernandez,Maria Hernandez,hispanic,female,0.94
Finance/Batch_2/John Yazzie,John Yazzie,native,male,0.84
Finance/Batch_2/Lisa Locklear,Lisa Locklear,native,female,0.87
Finance/Batch_3/Brad Murphy,Brad Murphy,white,male,0.56
Finance/Batch_3/Jill Sullivan,Jill Sullivan,white,female,0.8
Finance/Batch_3/Jermaine Williams,Jermaine Williams,black,male,0.82
Finance/Batch_3/Tanisha Jones,Tanisha Jones,black,female,0.84
Finance/Batch_3/Andrew Yang,Andrew Yang,asian,male,0.82
Finance/Batch_3/Sarah Li,Sarah Li,asian,female,0.87
Finance/Batch_3/Luis Hernandez,Luis Hernandez,hispanic,male,0.92
Finance/Batch_3/Jennifer Gonzalez,Jennifer Gonzalez,hispanic,female,0.94
Finance/Batch_3/Richard Tsosie,Richard Tsosie,native,male,0.89
Finance/Batch_3/Mary Tsosie,Mary Tsosie,native,female,0.54
Finance/Batch_4/Matthew Murphy,Matthew Murphy,white,male,0.87
Finance/Batch_4/Laurie O’Brien,Laurie O’Brien,white,female,0.87
Finance/Batch_4/Tyrone Williams,Tyrone Williams,black,male,0.84
Finance/Batch_4/Aisha Jackson,Aisha Jackson,black,female,0.75
Finance/Batch_4/David Chen,David Chen,asian,male,0.74
Finance/Batch_4/Elizabeth Lee,Elizabeth Lee,asian,female,0.56
Finance/Batch_4/Jesus Hernandez,Jesus Hernandez,hispanic,male,0.94
Finance/Batch_4/Martha Perez,Martha Perez,hispanic,female,0.8
Finance/Batch_4/David Begay,David Begay,native,male,0.87
Finance/Batch_4/Michelle Locklear,Michelle Locklear,native,female,0.82
Finance/Batch_5/Brendan O’Brien,Brendan O’Brien,white,male,0.91
Finance/Batch_5/Allison O’Brien,Allison O’Brien,white,female,0.8
Finance/Batch_5/Kareem Washington,Kareem Washington,black,male,0.88
Finance/Batch_5/Latonya Jones,Latonya Jones,black,female,0.87
Finance/Batch_5/Jason Le,Jason Le,asian,male,0.73
Finance/Batch_5/Michelle Yang,Michelle Yang,asian,female,0.86
Finance/Batch_5/Miguel Garcia,Miguel Garcia,hispanic,male,0.65
Finance/Batch_5/Maria Lopez,Maria Lopez,hispanic,female,0.75
Finance/Batch_5/Christopher Yazzie,Christopher Yazzie,native,male,0.94
Finance/Batch_5/Jennifer Begay,Jennifer Begay,native,female,0.84
Finance/Batch_6/Jay Baker,Jay Baker,white,male,0.74
Finance/Batch_6/Anne O’Brien,Anne O’Brien,white,female,0.56
Finance/Batch_6/Jamal Jackson,Jamal Jackson,black,male,0.92
Finance/Batch_6/Tamika Washington,Tamika Washington,black,female,0.94
Finance/Batch_6/Jason Li,Jason Li,asian,male,0.88
Finance/Batch_6/Grace Li,Grace Li,asian,female,0.74
Finance/Batch_6/Juan Garcia,Juan Garcia,hispanic,male,0.9
Finance/Batch_6/Maria Lopez,Maria Lopez,hispanic,female,0.65
Finance/Batch_6/Michael Chee,Michael Chee,native,male,0.9
Finance/Batch_6/Linda Tsosie,Linda Tsosie,native,female,0.8
Finance/Batch_7/Brendan Murphy,Brendan Murphy,white,male,0.87
Finance/Batch_7/Jill Murphy,Jill Murphy,white,female,0.54
Finance/Batch_7/Tyrone Washington,Tyrone Washington,black,male,0.82
Finance/Batch_7/Kenya Washington,Kenya Washington,black,female,0.91
Finance/Batch_7/John Kim,John Kim,asian,male,0.84
Finance/Batch_7/Elizabeth Lee,Elizabeth Lee,asian,female,0.94
Finance/Batch_7/David Lopez,David Lopez,hispanic,male,0.88
Finance/Batch_7/Maria Lopez,Maria Lopez,hispanic,female,0.81
Finance/Batch_7/Joseph Nez,Joseph Nez,native,male,0.85
Finance/Batch_7/Elizabeth Nez,Elizabeth Nez,native,female,0.92
Finance/Batch_8/Greg Ryan,Greg Ryan,white,male,0.84
Finance/Batch_8/Meredith Kelly,Meredith Kelly,white,female,0.92
Finance/Batch_8/Tyrone Robinson,Tyrone Robinson,black,male,0.87
Finance/Batch_8/Tanisha Williams,Tanisha Williams,black,female,0.92
Finance/Batch_8/John Tran,John Tran,asian,male,0.74
Finance/Batch_8/Michelle Wang,Michelle Wang,asian,female,0.81
Finance/Batch_8/Luis Lopez,Luis Lopez,hispanic,male,0.87
Finance/Batch_8/Jennifer Lopez,Jennifer Lopez,hispanic,female,0.91
Finance/Batch_8/David Nez,David Nez,native,male,0.65
Finance/Batch_8/Michelle Locklear,Michelle Locklear,native,female,0.84
Finance/Batch_9/Matthew Murray,Matthew Murray,white,male,0.54
Finance/Batch_9/Kristen Walsh,Kristen Walsh,white,female,0.56
Finance/Batch_9/Darnell Williams,Darnell Williams,black,male,0.85
Finance/Batch_9/Lakisha Jackson,Lakisha Jackson,black,female,0.87
Finance/Batch_9/Michael Le,Michael Le,asian,male,0.82
Finance/Batch_9/Maria Kim,Maria Kim,asian,female,0.84
Finance/Batch_9/Jose Sanchez,Jose Sanchez,hispanic,male,0.88
Finance/Batch_9/Martha Perez,Martha Perez,hispanic,female,0.92
Finance/Batch_9/John Chee,John Chee,native,male,0.89
Finance/Batch_9/Lisa Sandoval,Lisa Sandoval,native,female,0.9
Finance/Batch_10/Brett Kelly,Brett Kelly,white,male,0.9
Finance/Batch_10/Jill McCarthy,Jill McCarthy,white,female,0.8
Finance/Batch_10/Leroy Washington,Leroy Washington,black,male,0.9
Finance/Batch_10/Tamika Jackson,Tamika Jackson,black,female,0.86
Finance/Batch_10/Daniel Tran,Daniel Tran,asian,male,0.85
Finance/Batch_10/Emily Chen,Emily Chen,asian,female,0.84
Finance/Batch_10/David Sanchez,David Sanchez,hispanic,male,0.9
Finance/Batch_10/Sandra Sanchez,Sandra Sanchez,hispanic,female,0.87
Finance/Batch_10/David Sandoval,David Sandoval,native,male,0.89
Finance/Batch_10/Jessica Tsosie,Jessica Tsosie,native,female,0.87
Finance/Batch_11/Brendan Sullivan,Brendan Sullivan,white,male,0.87
Finance/Batch_11/Kristen McCarthy,Kristen McCarthy,white,female,0.92
Finance/Batch_11/Jermaine Robinson,Jermaine Robinson,black,male,0.74
Finance/Batch_11/Kenya Washington,Kenya Washington,black,female,0.84
Finance/Batch_11/Michael Le,Michael Le,asian,male,0.89
Finance/Batch_11/Jennifer Lee,Jennifer Lee,asian,female,0.86
Finance/Batch_11/Jorge Martinez,Jorge Martinez,hispanic,male,0.87
Finance/Batch_11/Elizabeth Garcia,Elizabeth Garcia,hispanic,female,0.9
Finance/Batch_11/Christopher Locklear,Christopher Locklear,native,male,0.8
Finance/Batch_11/Jessica Yazzie,Jessica Yazzie,native,female,0.85
Finance/Batch_12/Neil Murray,Neil Murray,white,male,0.84
Finance/Batch_12/Laurie O’Brien,Laurie O’Brien,white,female,0.6
Finance/Batch_12/Tremayne Williams,Tremayne Williams,black,male,0.8
Finance/Batch_12/Tamika Washington,Tamika Washington,black,female,0.88
Finance/Batch_12/David Le,David Le,asian,male,0.85
Finance/Batch_12/Michelle Li,Michelle Li,asian,female,0.56
Finance/Batch_12/Carlos Lopez,Carlos Lopez,hispanic,male,0.82
Finance/Batch_12/Martha Ramirez,Martha Ramirez,hispanic,female,0.89
Finance/Batch_12/Robert Nez,Robert Nez,native,male,0.94
Finance/Batch_12/Mary Tsosie,Mary Tsosie,native,female,0.94
Finance/Batch_13/Matthew O’Brien,Matthew O’Brien,white,male,0.82
Finance/Batch_13/Meredith McCarthy,Meredith McCarthy,white,female,0.87
Finance/Batch_13/Tyrone Jackson,Tyrone Jackson,black,male,0.73
Finance/Batch_13/Aisha Williams,Aisha Williams,black,female,0.88
Finance/Batch_13/Joseph Le,Joseph Le,asian,male,0.9
Finance/Batch_13/Elizabeth Li,Elizabeth Li,asian,female,0.86
Finance/Batch_13/Miguel Garcia,Miguel Garcia,hispanic,male,0.84
Finance/Batch_13/Ana Hernandez,Ana Hernandez,hispanic,female,0.73
Finance/Batch_13/Robert Chee,Robert Chee,native,male,0.87
Finance/Batch_13/Jessica Oxendine,Jessica Oxendine,native,female,0.89
Apparel/Batch_0/Todd Ryan,Todd Ryan,white,male,0.22
Apparel/Batch_0/Kristen Ryan,Kristen Ryan,white,female,0.25
Apparel/Batch_0/Rasheed Robinson,Rasheed Robinson,black,male,0.38
Apparel/Batch_0/Keisha Robinson,Keisha Robinson,black,female,0.34
Apparel/Batch_0/Kevin Yang,Kevin Yang,asian,male,0.41
Apparel/Batch_0/Jessica Chen,Jessica Chen,asian,female,0.21
Apparel/Batch_0/Daniel Perez,Daniel Perez,hispanic,male,0.52
Apparel/Batch_0/Jessica Gonzalez,Jessica Gonzalez,hispanic,female,0.11
Apparel/Batch_0/Christopher Locklear,Christopher Locklear,native,male,0.31
Apparel/Batch_0/Linda Chee,Linda Chee,native,female,0.08
Apparel/Batch_1/Brendan Walsh,Brendan Walsh,white,male,0.2
Apparel/Batch_1/Emily Baker,Emily Baker,white,female,0.34
Apparel/Batch_1/Darnell Jones,Darnell Jones,black,male,0.31
Apparel/Batch_1/Tanisha Jackson,Tanisha Jackson,black,female,0.22
Apparel/Batch_1/James Nguyen,James Nguyen,asian,male,0.38
Apparel/Batch_1/Jessica Wang,Jessica Wang,asian,female,0.52
Apparel/Batch_1/Juan Ramirez,Juan Ramirez,hispanic,male,0.3
Apparel/Batch_1/Martha Perez,Martha Perez,hispanic,female,0.82
Apparel/Batch_1/Joseph Nez,Joseph Nez,native,male,0.41
Apparel/Batch_1/Patricia Begay,Patricia Begay,native,female,0.68
Apparel/Batch_2/Geoffrey Walsh,Geoffrey Walsh,white,male,0.24
Apparel/Batch_2/Emily O’Brien,Emily O’Brien,white,female,0.38
Apparel/Batch_2/Darnell Robinson,Darnell Robinson,black,male,0.2
Apparel/Batch_2/Kenya Jones,Kenya Jones,black,female,0.26
Apparel/Batch_2/David Li,David Li,asian,male,0.2
Apparel/Batch_2/Amy Chen,Amy Chen,asian,female,0.9
Apparel/Batch_2/Jose Perez,Jose Perez,hispanic,male,0.8
Apparel/Batch_2/Carmen Martinez,Carmen Martinez,hispanic,female,0.29
Apparel/Batch_2/Robert Begay,Robert Begay,native,male,0.3
Apparel/Batch_2/Jennifer Begay,Jennifer Begay,native,female,0.8
Apparel/Batch_3/Neil Murphy,Neil Murphy,white,male,0.3
Apparel/Batch_3/Kristen McCarthy,Kristen McCarthy,white,female,0.2
Apparel/Batch_3/Jermaine Jones,Jermaine Jones,black,male,0.32
Apparel/Batch_3/Kenya Jones,Kenya Jones,black,female,0.38
Apparel/Batch_3/Kevin Chen,Kevin Chen,asian,male,0.9
Apparel/Batch_3/Sarah Chen,Sarah Chen,asian,female,0.25
Apparel/Batch_3/Luis Gonzalez,Luis Gonzalez,hispanic,male,0.48
Apparel/Batch_3/Rosa Gonzalez,Rosa Gonzalez,hispanic,female,0.32
Apparel/Batch_3/Christopher Nez,Christopher Nez,native,male,0.13
Apparel/Batch_3/Lisa Locklear,Lisa Locklear,native,female,0.31
Apparel/Batch_4/Geoffrey Sullivan,Geoffrey Sullivan,white,male,0.29
Apparel/Batch_4/Sarah O’Brien,Sarah O’Brien,white,female,0.31
Apparel/Batch_4/Tyrone Washington,Tyrone Washington,black,male,0.32
Apparel/Batch_4/Lakisha Jones,Lakisha Jones,black,female,0.11
Apparel/Batch_4/Kevin Nguyen,Kevin Nguyen,asian,male,0.68
Apparel/Batch_4/Grace Le,Grace Le,asian,female,0.96
Apparel/Batch_4/Jorge Hernandez,Jorge Hernandez,hispanic,male,0.48
Apparel/Batch_4/Elizabeth Hernandez,Elizabeth Hernandez,hispanic,female,0.08
Apparel/Batch_4/Robert Tsosie,Robert Tsosie,native,male,0.69
Apparel/Batch_4/Jennifer Begay,Jennifer Begay,native,female,0.29
Apparel/Batch_5/Neil Baker,Neil Baker,white,male,0.32
Apparel/Batch_5/Anne O’Brien,Anne O’Brien,white,female,0.11
Apparel/Batch_5/Kareem Williams,Kareem Williams,black,male,0.31
Apparel/Batch_5/Tamika Washington,Tamika Washington,black,female,0.32
Apparel/Batch_5/John Nguyen,John Nguyen,asian,male,0.96
Apparel/Batch_5/Sarah Yang,Sarah Yang,asian,female,0.57
Apparel/Batch_5/Luis Martinez,Luis Martinez,hispanic,male,0.42
Apparel/Batch_5/Rosa Martinez,Rosa Martinez,hispanic,female,0.7
Apparel/Batch_5/William Benally,William Benally,native,male,0.43
Apparel/Batch_5/Linda Nez,Linda Nez,native,female,0.69
Apparel/Batch_6/Jay Sullivan,Jay Sullivan,white,male,0.22
Apparel/Batch_6/Allison Walsh,Allison Walsh,white,female,0.81
Apparel/Batch_6/Darnell Jackson,Darnell Jackson,black,male,0.52
Apparel/Batch_6/Ebony Robinson,Ebony Robinson,black,female,0.68
Apparel/Batch_6/Andrew Wang,Andrew Wang,asian,male,0.29
Apparel/Batch_6/Michelle Kim,Michelle Kim,asian,female,0.48
Apparel/Batch_6/David Gonzalez,David Gonzalez,hispanic,male,0.29
Apparel/Batch_6/Elizabeth Gonzalez,Elizabeth Gonzalez,hispanic,female,0.04
Apparel/Batch_6/James Sandoval,James Sandoval,native,male,0.32
Apparel/Batch_6/Mary Benally,Mary Benally,native,female,0.9
Apparel/Batch_7/Greg Ryan,Greg Ryan,white,male,0.68
Apparel/Batch_7/Sarah Walsh,Sarah Walsh,white,female,0.04
Apparel/Batch_7/Kareem Washington,Kareem Washington,black,male,0.41
Apparel/Batch_7/Tanisha Jackson,Tanisha Jackson,black,female,0.9
Apparel/Batch_7/James Le,James Le,asian,male,0.38
Apparel/Batch_7/Elizabeth Tran,Elizabeth Tran,asian,female,0.7
Apparel/Batch_7/Juan Perez,Juan Perez,hispanic,male,0.43
Apparel/Batch_7/Carmen Martinez,Carmen Martinez,hispanic,female,0.63
Apparel/Batch_7/David Tsosie,David Tsosie,native,male,0.31
Apparel/Batch_7/Jennifer Locklear,Jennifer Locklear,native,female,0.73
Apparel/Batch_8/Brendan McCarthy,Brendan McCarthy,white,male,0.25
Apparel/Batch_8/Anne Baker,Anne Baker,white,female,0.2
Apparel/Batch_8/Tyrone Jones,Tyrone Jones,black,male,0.69
Apparel/Batch_8/Lakisha Washington,Lakisha Washington,black,female,0.21
Apparel/Batch_8/David Nguyen,David Nguyen,asian,male,0.42
Apparel/Batch_8/Maria Tran,Maria Tran,asian,female,0.22
Apparel/Batch_8/Juan Lopez,Juan Lopez,hispanic,male,0.73
Apparel/Batch_8/Jennifer Lopez,Jennifer Lopez,hispanic,female,0.8
Apparel/Batch_8/James Yazzie,James Yazzie,native,male,0.14
Apparel/Batch_8/Ashley Chee,Ashley Chee,native,female,0.24
Apparel/Batch_9/Geoffrey Sullivan,Geoffrey Sullivan,white,male,0.9
Apparel/Batch_9/Laurie Sullivan,Laurie Sullivan,white,female,0.6
Apparel/Batch_9/Jermaine Robinson,Jermaine Robinson,black,male,0.2
Apparel/Batch_9/Tamika Jones,Tamika Jones,black,female,0.3
Apparel/Batch_9/Kevin Tran,Kevin Tran,asian,male,0.96
Apparel/Batch_9/Amy Chen,Amy Chen,asian,female,0.25
Apparel/Batch_9/Miguel Perez,Miguel Perez,hispanic,male,0.08
Apparel/Batch_9/Jennifer Sanchez,Jennifer Sanchez,hispanic,female,0.11
Apparel/Batch_9/Joseph Nez,Joseph Nez,native,male,0.24
Apparel/Batch_9/Patricia Locklear,Patricia Locklear,native,female,0.46
Apparel/Batch_10/Todd Murray,Todd Murray,white,male,0.8
Apparel/Batch_10/Emily Walsh,Emily Walsh,white,female,0.24
Apparel/Batch_10/Kareem Jones,Kareem Jones,black,male,0.13
Apparel/Batch_10/Tamika Williams,Tamika Williams,black,female,0.29
Apparel/Batch_10/Jason Tran,Jason Tran,asian,male,0.81
Apparel/Batch_10/Elizabeth Kim,Elizabeth Kim,asian,female,0.8
Apparel/Batch_10/Luis Martinez,Luis Martinez,hispanic,male,0.04
Apparel/Batch_10/Martha Garcia,Martha Garcia,hispanic,female,0.2
Apparel/Batch_10/William Chee,William Chee,native,male,0.41
Apparel/Batch_10/Patricia Sandoval,Patricia Sandoval,native,female,0.22
Apparel/Batch_11/Brendan O’Brien,Brendan O’Brien,white,male,0.2
Apparel/Batch_11/Emily Sullivan,Emily Sullivan,white,female,0.3
Apparel/Batch_11/Kareem Jackson,Kareem Jackson,black,male,0.24
Apparel/Batch_11/Kenya Jones,Kenya Jones,black,female,0.04
Apparel/Batch_11/Daniel Le,Daniel Le,asian,male,0.32
Apparel/Batch_11/Michelle Le,Michelle Le,asian,female,0.22
Apparel/Batch_11/Juan Sanchez,Juan Sanchez,hispanic,male,0.64
Apparel/Batch_11/Maria Gonzalez,Maria Gonzalez,hispanic,female,0.66
Apparel/Batch_11/James Locklear,James Locklear,native,male,0.42
Apparel/Batch_11/Elizabeth Locklear,Elizabeth Locklear,native,female,0.68
Apparel/Batch_12/Jay O’Brien,Jay O’Brien,white,male,0.25
Apparel/Batch_12/Carrie Murphy,Carrie Murphy,white,female,0.63
Apparel/Batch_12/Tyrone Robinson,Tyrone Robinson,black,male,0.89
Apparel/Batch_12/Ebony Robinson,Ebony Robinson,black,female,0.6
Apparel/Batch_12/Daniel Lee,Daniel Lee,asian,male,0.57
Apparel/Batch_12/Elizabeth Nguyen,Elizabeth Nguyen,asian,female,0.3
Apparel/Batch_12/Jesus Lopez,Jesus Lopez,hispanic,male,0.68
Apparel/Batch_12/Rosa Rodriguez,Rosa Rodriguez,hispanic,female,0.34
Apparel/Batch_12/James Sandoval,James Sandoval,native,male,0.42
Apparel/Batch_12/Jessica Tsosie,Jessica Tsosie,native,female,0.22
Apparel/Batch_13/Greg McCarthy,Greg McCarthy,white,male,0.8
Apparel/Batch_13/Meredith McCarthy,Meredith McCarthy,white,female,0.66
Apparel/Batch_13/Leroy Williams,Leroy Williams,black,male,0.69
Apparel/Batch_13/Latoya Robinson,Latoya Robinson,black,female,0.43
Apparel/Batch_13/Daniel Kim,Daniel Kim,asian,male,0.32
Apparel/Batch_13/Michelle Yang,Michelle Yang,asian,female,0.11
Apparel/Batch_13/Juan Martinez,Juan Martinez,hispanic,male,0.89
Apparel/Batch_13/Rosa Lopez,Rosa Lopez,hispanic,female,0.32
Apparel/Batch_13/Richard Yazzie,Richard Yazzie,native,male,0.46
Apparel/Batch_13/Linda Locklear,Linda Locklear,native,female,0.8
Teacher/Batch_0/Matthew O’Brien,Matthew O’Brien,white,male,0.68
Teacher/Batch_0/Kristen McCarthy,Kristen McCarthy,white,female,0.75
Teacher/Batch_0/Rasheed Williams,Rasheed Williams,black,male,0.74
Teacher/Batch_0/Latoya Jackson,Latoya Jackson,black,female,0.7
Teacher/Batch_0/John Wang,John Wang,asian,male,0.72
Teacher/Batch_0/Jennifer Lee,Jennifer Lee,asian,female,0.8
Teacher/Batch_0/Luis Perez,Luis Perez,hispanic,male,0.89
Teacher/Batch_0/Ana Gonzalez,Ana Gonzalez,hispanic,female,0.8
Teacher/Batch_0/Christopher Oxendine,Christopher Oxendine,native,male,0.78
Teacher/Batch_0/Jessica Begay,Jessica Begay,native,female,0.89
Teacher/Batch_1/Neil Sullivan,Neil Sullivan,white,male,0.83
Teacher/Batch_1/Laurie Kelly,Laurie Kelly,white,female,0.82
Teacher/Batch_1/Hakim Washington,Hakim Washington,black,male,0.78
Teacher/Batch_1/Ebony Washington,Ebony Washington,black,female,0.84
Teacher/Batch_1/John Lee,John Lee,asian,male,0.86
Teacher/Batch_1/Jennifer Yang,Jennifer Yang,asian,female,0.9
Teacher/Batch_1/Juan Sanchez,Juan Sanchez,hispanic,male,0.74
Teacher/Batch_1/Martha Hernandez,Martha Hernandez,hispanic,female,0.8
Teacher/Batch_1/David Begay,David Begay,native,male,0.8
Teacher/Batch_1/Mary Begay,Mary Begay,native,female,0.74
Teacher/Batch_2/Todd O’Brien,Todd O’Brien,white,male,0.75
Teacher/Batch_2/Allison McCarthy,Allison McCarthy,white,female,0.62
Teacher/Batch_2/Rasheed Williams,Rasheed Williams,black,male,0.86
Teacher/Batch_2/Latonya Jackson,Latonya Jackson,black,female,0.69
Teacher/Batch_2/Michael Kim,Michael Kim,asian,male,0.78
Teacher/Batch_2/Jennifer Tran,Jennifer Tran,asian,female,0.65
Teacher/Batch_2/Luis Ramirez,Luis Ramirez,hispanic,male,0.89
Teacher/Batch_2/Elizabeth Sanchez,Elizabeth Sanchez,hispanic,female,0.8
Teacher/Batch_2/John Nez,John Nez,native,male,0.82
Teacher/Batch_2/Jessica Sandoval,Jessica Sandoval,native,female,0.7
Teacher/Batch_3/Geoffrey Ryan,Geoffrey Ryan,white,male,0.8
Teacher/Batch_3/Meredith Ryan,Meredith Ryan,white,female,0.84
Teacher/Batch_3/Tyrone Robinson,Tyrone Robinson,black,male,0.68
Teacher/Batch_3/Kenya Robinson,Kenya Robinson,black,female,0.84
Teacher/Batch_3/John Kim,John Kim,asian,male,0.74
Teacher/Batch_3/Grace Yang,Grace Yang,asian,female,0.86
Teacher/Batch_3/Luis Ramirez,Luis Ramirez,hispanic,male,0.68
Teacher/Batch_3/Elizabeth Sanchez,Elizabeth Sanchez,hispanic,female,0.89
Teacher/Batch_3/Robert Sandoval,Robert Sandoval,native,male,0.88
Teacher/Batch_3/Lisa Tsosie,Lisa Tsosie,native,female,0.8
Teacher/Batch_4/Geoffrey O’Brien,Geoffrey O’Brien,white,male,0.64
Teacher/Batch_4/Sarah McCarthy,Sarah McCarthy,white,female,0.74
Teacher/Batch_4/Jermaine Williams,Jermaine Williams,black,male,0.74
Teacher/Batch_4/Tanisha Williams,Tanisha Williams,black,female,0.64
Teacher/Batch_4/Andrew Tran,Andrew Tran,asian,male,0.81
Teacher/Batch_4/Grace Tran,Grace Tran,asian,female,0.7
Teacher/Batch_4/Jesus Lopez,Jesus Lopez,hispanic,male,0.78
Teacher/Batch_4/Sandra Rodriguez,Sandra Rodriguez,hispanic,female,0.65
Teacher/Batch_4/Joseph Oxendine,Joseph Oxendine,native,male,0.84
Teacher/Batch_4/Mary Locklear,Mary Locklear,native,female,0.62
Teacher/Batch_5/Greg Baker,Greg Baker,white,male,0.74
Teacher/Batch_5/Anne Kelly,Anne Kelly,white,female,0.72
Teacher/Batch_5/Tyrone Washington,Tyrone Washington,black,male,0.8
Teacher/Batch_5/Aisha Robinson,Aisha Robinson,black,female,0.9
Teacher/Batch_5/David Li,David Li,asian,male,0.88
Teacher/Batch_5/Jennifer Nguyen,Jennifer Nguyen,asian,female,0.74
Teacher/Batch_5/Juan Lopez,Juan Lopez,hispanic,male,0.68
